;Código Pacote;Label SEEDS;Unnamed: 2;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;Fase;Atividade;Diâmetro;Codigo;"Operação - caso Sonda ser Dual Active
";Código 2;Fase.1;Atividade.1;Operação;Unnamed: 19;Unnamed: 20
0;Mob_Anc;Mob_Anc;Mob_Anc_1;Navegar para locação;;;;0;0;0;Fase 0;Navegação;Movimentaçao da Sonda;Mobilização;Navegação;;0;DMM / DTM / DMA;Movimentação da unidade;Muito Baixa;-
1;;;Mob_Anc_2;Localizar bóias demarcatórias;;;;2;0;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
2;;;Mob_Anc_3;Lançar Ancoras;;;;24;0;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Ancoragem;Muito Baixa;-
3;;;Mob_Anc_4;Posicionar Plataforma;;;;12;0;0;Fase 0;Posicionamento;Movimentaçao da Sonda;Mobilização;Posicionamento;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
4;;;Mob_Anc_5;Efetuar back load/Receber materiais;;;;1;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
5;;;Mob_Anc_6;Montar e estaleirar seção com cabeça de cimentação;;;;3;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
6;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
7;Mob_DP;Mob_DP;Mob_DP_1;Navegar para locação;;;;0;0;0;Fase 0;Navegaçao;Movimentaçao da Sonda;Mobilização;Navegaçao;;0;DMM / DTM / DMA;Movimentação da unidade;Muito Baixa;-
8;;;Mob_DP_2;Localizar bóias demarcatórias;;;;2;0;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
9;;;Mob_DP_3;Lançar beacons;;;;6;0;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
10;;;Mob_DP_4;Calibrar sistema DP;;;;2;0;0;Fase 0;Calibraçao de DP;Movimentaçao da Sonda;Mobilização;Calibraçao de DP;;0;DMM / DTM / DMA;Calibração de DP;Muito Baixa;-
11;;;Mob_DP_5;Efetuar back load/Receber materiais;;;;1;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Posicionando unidade;Muito Baixa;-
12;;;Mob_DP_6;Montar e estaleirar seção com cabeça de cimentação;;;;3;0;0;Fase 0;Montagem e descida de BHA de perfuração;Movimentaçao da Sonda;Mobilização;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
13;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
14;Pilot Well;Pilot Well;Pilot_Well_1;Montar BHA;;;;5;0;0;Fase 0;Montagem e descida de BHA de perfuração;"""Broca 8 1/2 """"""";Poço Piloto;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
15;;;Pilot_Well_2;Descer BHA com coluna de perfuração;;;;0;0;0;Fase 0;Montagem e descida de BHA de perfuração;"""Broca 8 1/2 """"""";Poço Piloto;Montagem e descida de BHA de perfuração;;0;DMM / DTM / DMA;Descida de coluna em poço revestido;Muito Baixa;-
16;;;Pilot_Well_3;Perfurar Poço Piloto;;;;0;0;0;Fase 0;Perfuração;"""Broca 8 1/2 """"""";Poço Piloto;Perfuração;;1;Perfuração;Perfuração (Operações com avanço);Alta;-
17;;;Pilot_Well_4;Avaliar Shallow Hazards;;;;2;0;0;Fase 0;Tampão de cimento em poço aberto;"""Broca 8 1/2 """"""";Poço Piloto;Tampão de cimento em poço aberto;;1;Abandono;Execução do tampão de cimento e operações associadas;Alta;-
18;;;Pilot_Well_5;Retirar coluna até o mudline (poço aberto);;;;0;0;0;Fase 0;Retirada de broca;"""Broca 8 1/2 """"""";Poço Piloto;Retirada de broca;;1;Abandono;Retirada de coluna em poço aberto;Baixa;-
19;;;Pilot_Well_6;Retirar coluna até a superfície (mar aberto);;;;0;0;0;Fase 0;Retirada de broca;"""Broca 8 1/2 """"""";Poço Piloto;Retirada de broca;;1;Abandono;Retirada de coluna em poço revestido;Muito Baixa;-
20;;;Pilot_Well_7;Quebrar BHA;;;;3;0;0;Fase 0;Retirada de broca;"""Broca 8 1/2 """"""";Poço Piloto;Retirada de broca;;1;Abandono;Quebra de coluna por unidade;Muito Baixa;-
21;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
22;Preparing to Jet;Preparing to Jet;Preparing_to_Jet_1;Posicionar BAJA no moon pool e amarrar com cabos tensionadores de riser;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
23;;;Preparing_to_Jet_2;"""Montar a RT/HSG 16 3/4""""+ 01 extensão 13 3/8"""" + 1 DP acima e deitar no convés""";;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
24;;;Preparing_to_Jet_3;Montar, testar e estaleirar BHA de Jateamento BHA {phase2_diameter};;;;12;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
25;;;Preparing_to_Jet_4;Montar Jet Cam, testar liberação e estaleirar;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
26;;;Preparing_to_Jet_5;Preparar equipamentos para descida de revestimento;;;;2;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Revestimento e operações associadas;Muito Baixa;-
27;;;Preparing_to_Jet_6;"""Descer revestimento condutor, cortar olhais e soldar """"bacalhaus""""""";;;;0;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Revestimento e operações associadas;Muito Baixa;-
28;;;Preparing_to_Jet_7;Desmobilizar equipamentos de manuseio do rev. condutor {phase0_case_diameter} pol pol;;;;1;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Revestimento e operações associadas;Muito Baixa;-
29;;;Preparing_to_Jet_8;Descer BHA de Jateamento;;;;6;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Descida de coluna em poço revestido;Muito Baixa;-
30;;;Preparing_to_Jet_9;Testar e travar Jet Cam no alojador de baixa pressão (ABP), descer e travar conjunto na BAJA;;;;3;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
31;;;Preparing_to_Jet_10;Liberar cabos tensionadores da BAJA e preparar para descer conjunto: Rev. Condutor + BAJA + BHA de Jateamento;;;;1;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
32;;;Preparing_to_Jet_11;Descer coluna de DP com conjunto: Rev. Condutor + BAJA + BHA de Jateamento;;;;0;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
33;;;Preparing_to_Jet_12;Conectar TD, testar rotação da broca, mover sonda e posicionar broca no triângulo de bóias;;;;0,5;0;0;Fase 0;Montagem e descida de condutor e BAJA;Movimentaçao da Sonda;Mobilização;Montagem e descida de condutor e BAJA;;0;DMM / DTM / DMA;Instalação / Retirada de cabeça de poço (BAP / BGPR, alojador, etc);Muito Baixa;-
34;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
35;Jetting;Jetting;Jetting_1;Executar Jateamento dos Tubos do Rev. Condutor {phase1_diameter} pol até {phase1_depth} m;;;;0;PFF;0;Fase 1;Jateamento de revestimento condutor;"""Broca {phase1_diameter} """"""";"""Jateamento {phase1_case_diameter} """"""";Jateamento de revestimento condutor;;1;Perfuração;Jateamento de revestimento condutor (Operações com avanço);Baixa;-
36;;;Jetting_2;Efetuar teste de overpull, Checar nivel de bolas e destravar Jet Cam;;;;3;0;0;Fase 1;Jateamento de revestimento condutor;"""Broca {phase1_diameter} """"""";"""Jateamento {phase1_case_diameter} """"""";Jateamento de revestimento condutor;;1;Perfuração;Jateamento de revestimento condutor (Operações sem avanço);Baixa;-
37;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
38;RIH_BHA 1;RIH_BHA 1;RIH_BHA_1_1;Montar BHA {phase1_diameter} pol;;;;3;0;0;Fase 0;Montagem E Descida De Bha De Perfuração;"""Broca {phase1_diameter} """"""";Mobilização;Montagem E Descida De Bha De Perfuração;;0;DMM / DTM / DMA;Montagem de BHA;Muito Baixa;-
39;;;RIH_BHA_1_2;Descer BHA {phase1_diameter} pol (mar aberto);;;;0;0;0;Fase 0;Montagem E Descida De Bha De Perfuração;"""Broca {phase1_diameter} """"""";Mobilização;Montagem E Descida De Bha De Perfuração;;0;DMM / DTM / DMA;Descida de coluna em poço revestido;Muito Baixa;-
40;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
41;RIH_BHA 2;RIH_BHA 2;RIH_BHA_2_1;Montar BHA {phase2_diameter} pol;;;;3;0;0;Fase 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Perfuração;Montagem de BHA;Muito Baixa;-
42;;;RIH_BHA_2_2;Descer BHA {phase2_diameter} pol (mar aberto);;;;0;0;0;Fase 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Perfuração;Descida de coluna em poço revestido;Muito Baixa;-
43;;;RIH_BHA_2_3;Descer BHA {phase2_diameter} pol (poço revestido);;;;Err:509;0;0;Fase 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Rev / Cimentação;Descida de coluna em poço revestido;Baixa;-
44;;;RIH_BHA_2_4;Descer BHA {phase2_diameter} pol (poço aberto);;;;0;0;0;Fase 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Rev / Cimentação;Descida de coluna em poço revestido;Baixa;-
45;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
46;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
47;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
48;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
49;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
50;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
51;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
52;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
53;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
54;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
55;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
56;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
57;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
58;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
59;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
60;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
61;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
62;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
63;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
64;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
65;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
66;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
67;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
68;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
69;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
70;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
71;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
72;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
73;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
74;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
75;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
76;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
77;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
78;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
79;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
80;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
81;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
82;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
83;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
84;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
85;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
86;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
87;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
88;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
89;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
90;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
91;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
92;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
93;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
94;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
95;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
96;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
97;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
98;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
99;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
100;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
101;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
102;POOH_BHA 1;POOH_BHA 1;POOH_BHA_1_1;Circular p/ limpar poço;;;;0,5;0;0;FASE 1;Retirada de broca;"""Broca {phase1_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;1;Rev / Cimentação;Condicionamento de poço;Baixa;-
103;;;POOH_BHA_1_2;Retirar coluna até o mudline (poço aberto);;;;0;0;0;FASE 1;Retirada de broca;"""Broca {phase1_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;1;Rev / Cimentação;Retirada de coluna em poço aberto;Baixa;-
104;;;POOH_BHA_1_3;Retirar coluna até a superfície (mar aberto);;;;0;0;0;FASE 1;Retirada de broca;"""Broca {phase1_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;1;Rev / Cimentação;Retirada de coluna em poço revestido;Muito Baixa;-
105;;;POOH_BHA_1_4;Quebrar BHA {phase1_diameter} pol;;;;6;0;0;FASE 1;Retirada de broca;"""Broca {phase1_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;1;Rev / Cimentação;Desmontagem de BHA;Muito Baixa;-
106;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
107;POOH_BHA 2;POOH_BHA 2;POOH_BHA_2_1;Condicionar o poço e substituir o fluido por STA;;;;0;0;0;FASE 2;Retirada de broca;"""Broca {phase2_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;2;Rev / Cimentação;Condicionamento de poço;Baixa;-
108;;;POOH_BHA_2_2;Retirar coluna até a sapata (poço aberto);;;;0;;0;FASE 2;Retirada de broca;"""Broca {phase2_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;2;Rev / Cimentação;Retirada de coluna em poço aberto;Baixa;-
109;;;POOH_BHA_2_3;Retirar coluna até o mudline (poço revestido);;;;0;0;0;FASE 2;Retirada de broca;"""Broca {phase2_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;2;Rev / Cimentação;Retirada de coluna em poço revestido;Baixa;-
110;;;POOH_BHA_2_4;Liberar Jet Cam (CADA);;;;0,5;0;0;FASE 2;Retirada de broca;"""Broca {phase2_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;2;Rev / Cimentação;Retirada de coluna em poço revestido;Muito Baixa;-
111;;;POOH_BHA_2_5;Retirar coluna até a superfície (mar aberto);;;;0;0;0;FASE 2;Retirada de broca;"""Broca {phase2_diameter} """"""";Revestimento e Cimentação;Retirada de broca;;2;Rev / Cimentação;Retirada de coluna em poço revestido;Muito Baixa;-
112;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
113;POOH_BHA 3;POOH_BHA 3;POOH_BHA_3_1;Circular p/ limpar poço;;;;0;0;0;FASE 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Perfuração;Condicionamento de poço;Baixa;-
114;;;POOH_BHA_3_2;Retirar coluna até a sapata (poço aberto);;;;0;0;0;FASE 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Perfuração;Retirada de coluna em poço aberto;Baixa;-
115;;;POOH_BHA_3_3;Retirar coluna até a cabeça do poço (poço revestido);;;;0;0;0;FASE 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Perfuração;Retirada de coluna em poço revestido;Baixa;-
116;;;POOH_BHA_3_4;Retirar coluna até a superfície (mar aberto);;;;0;0;0;FASE 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Perfuração;Retirada de coluna em poço revestido;Muito Baixa;-
117;;;POOH_BHA_3_5;Quebrar BHA {phase2_diameter} pol;;;;6;0;0;FASE 2;Troca de Broca;"""Broca {phase2_diameter} """"""";"""Perfuração {phase2_diameter} """"""";Troca de Broca;;2;Perfuração;Retirada de coluna em poço revestido;Muito Baixa;-
118;Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;;Atividade;;;Operação - caso Sonda ser Dual Active;;--;Atividade;Operação;;
